Date,,Key Bridge West,Key Bridge West Ped IN,Key Bridge West Ped OUT,Key Bridge West Bike IN,Key Bridge West Bike OUT
01/01/2013,00:00,0,0,0,0,0
01/01/2013,00:15,6,6,0,0,0
01/01/2013,00:30,5,5,0,0,0
01/01/2013,00:45,1,1,0,0,0
01/01/2013,01:00,4,2,0,2,0
01/01/2013,01:15,6,6,0,0,0
01/01/2013,01:30,0,0,0,0,0
01/01/2013,01:45,14,11,1,2,0
01/01/2013,02:00,8,6,0,1,1
01/01/2013,02:15,2,2,0,0,0
01/01/2013,02:30,8,6,1,1,0
01/01/2013,02:45,0,0,0,0,0
01/01/2013,03:00,1,1,0,0,0
01/01/2013,03:15,1,0,1,0,0
01/01/2013,03:30,1,1,0,0,0
01/01/2013,03:45,6,1,1,3,1
01/01/2013,04:00,1,1,0,0,0
01/01/2013,04:15,2,1,0,1,0
01/01/2013,04:30,1,1,0,0,0
01/01/2013,04:45,0,0,0,0,0
01/01/2013,05:00,0,0,0,0,0
01/01/2013,05:15,0,0,0,0,0
01/01/2013,05:30,0,0,0,0,0
01/01/2013,05:45,0,0,0,0,0
01/01/2013,06:00,0,0,0,0,0
01/01/2013,06:15,1,0,0,0,1
01/01/2013,06:30,1,0,0,1,0
01/01/2013,06:45,0,0,0,0,0
01/01/2013,07:00,1,0,1,0,0
01/01/2013,07:15,5,3,1,1,0
01/01/2013,07:30,2,1,1,0,0
01/01/2013,07:45,3,0,3,0,0
01/01/2013,08:00,2,1,1,0,0
01/01/2013,08:15,0,0,0,0,0
01/01/2013,08:30,3,1,1,1,0
01/01/2013,08:45,4,1,3,0,0
01/01/2013,09:00,10,7,2,0,1
01/01/2013,09:15,2,0,2,0,0
01/01/2013,09:30,3,2,1,0,0
01/01/2013,09:45,7,4,3,0,0
01/01/2013,10:00,12,4,8,0,0
01/01/2013,10:15,6,4,1,0,1
01/01/2013,10:30,10,2,5,3,0
01/01/2013,10:45,5,2,1,2,0
01/01/2013,11:00,2,0,1,0,1
01/01/2013,11:15,11,4,5,1,1
01/01/2013,11:30,13,3,6,2,2
01/01/2013,11:45,3,2,1,0,0
01/01/2013,12:00,7,2,3,1,1
01/01/2013,12:15,5,2,1,2,0
01/01/2013,12:30,9,3,2,4,0
01/01/2013,12:45,12,7,2,3,0
01/01/2013,13:00,10,4,4,2,0
01/01/2013,13:15,5,3,1,1,0
01/01/2013,13:30,8,3,2,2,1
01/01/2013,13:45,9,3,5,1,0
01/01/2013,14:00,8,1,3,2,2
01/01/2013,14:15,9,6,1,2,0
01/01/2013,14:30,12,8,2,2,0
01/01/2013,14:45,25,7,11,7,0
01/01/2013,15:00,8,2,4,2,0
01/01/2013,15:15,20,5,9,2,4
01/01/2013,15:30,9,6,1,2,0
01/01/2013,15:45,10,3,4,2,1
01/01/2013,16:00,9,5,1,3,0
01/01/2013,16:15,11,4,3,4,0
01/01/2013,16:30,11,5,4,0,2
01/01/2013,16:45,8,2,2,3,1
01/01/2013,17:00,17,7,2,8,0
01/01/2013,17:15,5,1,1,3,0
01/01/2013,17:30,2,2,0,0,0
01/01/2013,17:45,3,1,2,0,0
01/01/2013,18:00,9,4,4,1,0
01/01/2013,18:15,10,7,2,1,0
01/01/2013,18:30,3,1,2,0,0
01/01/2013,18:45,10,3,2,2,3
01/01/2013,19:00,3,3,0,0,0
01/01/2013,19:15,1,1,0,0,0
01/01/2013,19:30,2,2,0,0,0
01/01/2013,19:45,6,5,1,0,0
01/01/2013,20:00,1,1,0,0,0
01/01/2013,20:15,1,0,1,0,0
01/01/2013,20:30,4,0,2,2,0
01/01/2013,20:45,3,2,0,0,1
01/01/2013,21:00,3,3,0,0,0
01/01/2013,21:15,4,4,0,0,0
01/01/2013,21:30,0,0,0,0,0
01/01/2013,21:45,8,2,6,0,0
01/01/2013,22:00,1,1,0,0,0
01/01/2013,22:15,1,1,0,0,0
01/01/2013,22:30,0,0,0,0,0
01/01/2013,22:45,1,1,0,0,0
01/01/2013,23:00,1,1,0,0,0
01/01/2013,23:15,3,1,0,1,1
01/01/2013,23:30,2,0,0,2,0
01/01/2013,23:45,2,2,0,0,0
02/01/2013,00:00,0,0,0,0,0
02/01/2013,00:15,0,0,0,0,0
02/01/2013,00:30,0,0,0,0,0
02/01/2013,00:45,1,0,0,1,0
02/01/2013,01:00,0,0,0,0,0
02/01/2013,01:15,2,0,1,1,0
02/01/2013,01:30,1,0,0,1,0
02/01/2013,01:45,0,0,0,0,0
02/01/2013,02:00,0,0,0,0,0
02/01/2013,02:15,0,0,0,0,0
02/01/2013,02:30,0,0,0,0,0
02/01/2013,02:45,0,0,0,0,0
02/01/2013,03:00,0,0,0,0,0
02/01/2013,03:15,2,1,1,0,0
02/01/2013,03:30,2,0,0,2,0
02/01/2013,03:45,0,0,0,0,0
02/01/2013,04:00,0,0,0,0,0
02/01/2013,04:15,0,0,0,0,0
02/01/2013,04:30,0,0,0,0,0
02/01/2013,04:45,1,1,0,0,0
02/01/2013,05:00,0,0,0,0,0
02/01/2013,05:15,2,0,1,1,0
02/01/2013,05:30,2,0,1,0,1
02/01/2013,05:45,1,0,0,1,0
02/01/2013,06:00,5,0,1,4,0
02/01/2013,06:15,1,0,0,1,0
02/01/2013,06:30,5,1,3,0,1
02/01/2013,06:45,8,1,3,4,0
02/01/2013,07:00,5,2,1,0,2
02/01/2013,07:15,7,0,2,5,0
02/01/2013,07:30,14,1,7,4,2
02/01/2013,07:45,25,4,14,4,3
02/01/2013,08:00,19,4,5,8,2
02/01/2013,08:15,20,3,10,5,2
02/01/2013,08:30,27,6,8,9,4
02/01/2013,08:45,37,4,17,13,3
02/01/2013,09:00,19,1,8,8,2
02/01/2013,09:15,8,0,4,3,1
02/01/2013,09:30,11,0,4,3,4
02/01/2013,09:45,11,1,7,1,2
02/01/2013,10:00,7,3,2,0,2
02/01/2013,10:15,10,0,7,3,0
02/01/2013,10:30,10,3,3,3,1
02/01/2013,10:45,7,1,0,4,2
02/01/2013,11:00,5,0,3,0,2
02/01/2013,11:15,1,0,1,0,0
02/01/2013,11:30,8,5,3,0,0
02/01/2013,11:45,2,1,0,1,0
02/01/2013,12:00,7,2,5,0,0
02/01/2013,12:15,6,2,2,1,1
02/01/2013,12:30,7,3,0,2,2
02/01/2013,12:45,8,2,3,1,2
02/01/2013,13:00,8,4,3,1,0
02/01/2013,13:15,4,3,0,0,1
02/01/2013,13:30,10,5,5,0,0
02/01/2013,13:45,3,0,1,2,0
02/01/2013,14:00,11,4,2,2,3
02/01/2013,14:15,15,7,5,1,2
02/01/2013,14:30,13,10,3,0,0
02/01/2013,14:45,9,4,1,3,1
02/01/2013,15:00,4,1,1,2,0
02/01/2013,15:15,16,10,0,4,2
02/01/2013,15:30,22,8,7,7,0
02/01/2013,15:45,10,4,4,1,1
02/01/2013,16:00,15,9,5,1,0
02/01/2013,16:15,18,11,3,4,0
02/01/2013,16:30,20,10,3,5,2
02/01/2013,16:45,25,9,2,10,4
02/01/2013,17:00,29,13,8,5,3
02/01/2013,17:15,30,18,4,5,3
02/01/2013,17:30,27,9,3,14,1
02/01/2013,17:45,31,11,4,14,2
02/01/2013,18:00,36,10,2,22,2
02/01/2013,18:15,27,7,1,18,1
02/01/2013,18:30,25,12,1,7,5
02/01/2013,18:45,21,9,5,5,2
02/01/2013,19:00,19,8,4,4,3
02/01/2013,19:15,11,6,0,4,1
02/01/2013,19:30,12,7,0,4,1
02/01/2013,19:45,10,2,1,7,0
02/01/2013,20:00,13,7,1,4,1
02/01/2013,20:15,5,2,1,2,0
02/01/2013,20:30,9,5,1,2,1
02/01/2013,20:45,7,3,0,2,2
02/01/2013,21:00,4,2,0,2,0
02/01/2013,21:15,8,7,0,1,0
02/01/2013,21:30,5,3,1,1,0
02/01/2013,21:45,1,0,1,0,0
02/01/2013,22:00,2,2,0,0,0
02/01/2013,22:15,5,5,0,0,0
02/01/2013,22:30,2,0,2,0,0
02/01/2013,22:45,3,1,0,2,0
02/01/2013,23:00,1,0,0,1,0
02/01/2013,23:15,0,0,0,0,0
02/01/2013,23:30,4,1,0,2,1
02/01/2013,23:45,3,0,0,3,0
03/01/2013,00:00,0,0,0,0,0
03/01/2013,00:15,1,1,0,0,0
03/01/2013,00:30,1,0,0,1,0
03/01/2013,00:45,0,0,0,0,0
03/01/2013,01:00,0,0,0,0,0
03/01/2013,01:15,0,0,0,0,0
03/01/2013,01:30,0,0,0,0,0
03/01/2013,01:45,1,0,0,1,0
03/01/2013,02:00,2,2,0,0,0
03/01/2013,02:15,0,0,0,0,0
03/01/2013,02:30,1,0,1,0,0
03/01/2013,02:45,1,1,0,0,0
03/01/2013,03:00,1,0,0,0,1
03/01/2013,03:15,2,1,1,0,0
03/01/2013,03:30,1,0,0,1,0
03/01/2013,03:45,0,0,0,0,0
03/01/2013,04:00,0,0,0,0,0
03/01/2013,04:15,0,0,0,0,0
03/01/2013,04:30,0,0,0,0,0
03/01/2013,04:45,1,0,0,1,0
03/01/2013,05:00,0,0,0,0,0
03/01/2013,05:15,0,0,0,0,0
03/01/2013,05:30,0,0,0,0,0
03/01/2013,05:45,2,0,2,0,0
03/01/2013,06:00,2,0,1,1,0
03/01/2013,06:15,7,0,2,5,0
03/01/2013,06:30,11,9,0,1,1
03/01/2013,06:45,9,1,7,1,0
03/01/2013,07:00,12,3,6,1,2
03/01/2013,07:15,11,3,4,3,1
03/01/2013,07:30,9,1,4,2,2
03/01/2013,07:45,20,4,7,6,3
03/01/2013,08:00,24,2,9,7,6
03/01/2013,08:15,24,1,12,6,5
03/01/2013,08:30,24,1,11,8,4
03/01/2013,08:45,38,3,15,13,7
03/01/2013,09:00,28,5,8,10,5
03/01/2013,09:15,9,3,1,3,2
03/01/2013,09:30,14,2,7,5,0
03/01/2013,09:45,7,0,4,3,0
03/01/2013,10:00,7,0,3,1,3
03/01/2013,10:15,9,2,5,2,0
03/01/2013,10:30,6,1,3,1,1
03/01/2013,10:45,9,2,5,1,1
03/01/2013,11:00,10,1,6,1,2
03/01/2013,11:15,5,2,3,0,0
03/01/2013,11:30,3,2,1,0,0
03/01/2013,11:45,10,3,5,0,2
03/01/2013,12:00,5,3,0,0,2
03/01/2013,12:15,9,4,3,1,1
03/01/2013,12:30,9,3,4,0,2
03/01/2013,12:45,9,3,2,2,2
03/01/2013,13:00,1,0,1,0,0
03/01/2013,13:15,15,4,6,3,2
03/01/2013,13:30,10,5,5,0,0
03/01/2013,13:45,6,4,0,2,0
03/01/2013,14:00,17,4,8,2,3
03/01/2013,14:15,5,1,2,0,2
03/01/2013,14:30,15,4,0,9,2
03/01/2013,14:45,10,1,5,2,2
03/01/2013,15:00,7,3,3,1,0
03/01/2013,15:15,10,3,1,6,0
03/01/2013,15:30,9,5,2,2,0
03/01/2013,15:45,13,6,1,4,2
03/01/2013,16:00,22,11,5,6,0
03/01/2013,16:15,21,9,5,4,3
03/01/2013,16:30,19,6,5,7,1
03/01/2013,16:45,13,5,6,0,2
03/01/2013,17:00,30,15,5,8,2
03/01/2013,17:15,39,18,4,15,2
03/01/2013,17:30,34,10,3,19,2
03/01/2013,17:45,28,12,5,11,0
03/01/2013,18:00,34,13,3,15,3
03/01/2013,18:15,35,14,8,13,0
03/01/2013,18:30,19,6,3,6,4
03/01/2013,18:45,30,8,5,13,4
03/01/2013,19:00,19,8,4,7,0
03/01/2013,19:15,13,6,1,5,1
03/01/2013,19:30,14,4,4,4,2
03/01/2013,19:45,11,9,0,2,0
03/01/2013,20:00,13,10,3,0,0
03/01/2013,20:15,9,3,1,5,0
03/01/2013,20:30,7,5,1,1,0
03/01/2013,20:45,11,6,0,5,0
03/01/2013,21:00,4,4,0,0,0
03/01/2013,21:15,8,1,1,4,2
03/01/2013,21:30,4,2,0,2,0
03/01/2013,21:45,3,1,0,1,1
03/01/2013,22:00,2,1,0,0,1
03/01/2013,22:15,2,1,0,1,0
03/01/2013,22:30,2,2,0,0,0
03/01/2013,22:45,3,1,0,2,0
03/01/2013,23:00,4,3,0,1,0
03/01/2013,23:15,2,1,1,0,0
03/01/2013,23:30,0,0,0,0,0
03/01/2013,23:45,1,0,0,1,0
04/01/2013,00:00,1,1,0,0,0
04/01/2013,00:15,4,0,0,2,2
04/01/2013,00:30,1,0,1,0,0
04/01/2013,00:45,1,1,0,0,0
04/01/2013,01:00,0,0,0,0,0
04/01/2013,01:15,1,0,1,0,0
04/01/2013,01:30,0,0,0,0,0
04/01/2013,01:45,3,1,0,2,0
04/01/2013,02:00,2,0,0,2,0
04/01/2013,02:15,0,0,0,0,0
04/01/2013,02:30,0,0,0,0,0
04/01/2013,02:45,0,0,0,0,0
04/01/2013,03:00,1,1,0,0,0
04/01/2013,03:15,1,0,1,0,0
04/01/2013,03:30,0,0,0,0,0
04/01/2013,03:45,1,0,0,1,0
04/01/2013,04:00,1,0,0,1,0
04/01/2013,04:15,1,0,0,1,0
04/01/2013,04:30,0,0,0,0,0
04/01/2013,04:45,1,0,0,0,1
04/01/2013,05:00,0,0,0,0,0
04/01/2013,05:15,1,0,0,0,1
04/01/2013,05:30,3,0,0,2,1
04/01/2013,05:45,3,0,0,3,0
04/01/2013,06:00,2,0,1,1,0
04/01/2013,06:15,5,0,1,3,1
04/01/2013,06:30,6,1,2,3,0
04/01/2013,06:45,7,3,4,0,0
04/01/2013,07:00,5,0,5,0,0
04/01/2013,07:15,12,0,3,7,2
04/01/2013,07:30,12,0,6,2,4
04/01/2013,07:45,20,3,7,6,4
04/01/2013,08:00,15,3,5,3,4
04/01/2013,08:15,25,3,11,8,3
04/01/2013,08:30,22,3,14,3,2
04/01/2013,08:45,26,1,9,7,9
04/01/2013,09:00,21,3,7,6,5
04/01/2013,09:15,15,4,3,6,2
04/01/2013,09:30,10,1,4,1,4
04/01/2013,09:45,13,0,5,6,2
04/01/2013,10:00,10,1,5,3,1
04/01/2013,10:15,8,2,5,0,1
04/01/2013,10:30,8,2,5,0,1
04/01/2013,10:45,8,0,6,1,1
04/01/2013,11:00,7,3,3,0,1
04/01/2013,11:15,7,3,3,0,1
04/01/2013,11:30,11,2,4,2,3
04/01/2013,11:45,14,5,9,0,0
04/01/2013,12:00,8,5,2,1,0
04/01/2013,12:15,9,3,4,0,2
04/01/2013,12:30,4,2,1,0,1
04/01/2013,12:45,18,7,5,6,0
04/01/2013,13:00,10,6,2,1,1
04/01/2013,13:15,10,3,3,0,4
04/01/2013,13:30,5,2,1,1,1
04/01/2013,13:45,8,2,4,2,0
04/01/2013,14:00,8,6,2,0,0
04/01/2013,14:15,14,6,5,3,0
04/01/2013,14:30,13,4,7,0,2
04/01/2013,14:45,9,4,1,3,1
04/01/2013,15:00,13,5,3,5,0
04/01/2013,15:15,11,3,3,3,2
04/01/2013,15:30,14,6,3,4,1
04/01/2013,15:45,11,2,4,4,1
04/01/2013,16:00,19,11,3,4,1
04/01/2013,16:15,22,11,3,8,0
04/01/2013,16:30,21,12,2,5,2
04/01/2013,16:45,18,6,4,6,2
04/01/2013,17:00,33,16,3,11,3
04/01/2013,17:15,44,28,3,11,2
04/01/2013,17:30,29,7,3,15,4
04/01/2013,17:45,32,9,5,17,1
04/01/2013,18:00,23,11,0,11,1
04/01/2013,18:15,23,13,1,8,1
04/01/2013,18:30,14,2,3,8,1
04/01/2013,18:45,18,10,1,5,2
04/01/2013,19:00,15,2,4,8,1
04/01/2013,19:15,7,5,0,2,0
04/01/2013,19:30,13,4,1,7,1
04/01/2013,19:45,5,1,2,2,0
04/01/2013,20:00,12,6,2,4,0
04/01/2013,20:15,6,4,1,1,0
04/01/2013,20:30,8,6,0,2,0
04/01/2013,20:45,8,7,1,0,0
04/01/2013,21:00,5,2,0,2,1
04/01/2013,21:15,2,2,0,0,0
04/01/2013,21:30,3,1,1,1,0
04/01/2013,21:45,4,2,1,1,0
04/01/2013,22:00,3,3,0,0,0
04/01/2013,22:15,2,1,1,0,0
04/01/2013,22:30,2,2,0,0,0
04/01/2013,22:45,4,2,0,2,0
04/01/2013,23:00,3,3,0,0,0
04/01/2013,23:15,4,2,0,2,0
04/01/2013,23:30,4,3,0,0,1
04/01/2013,23:45,4,1,0,2,1
05/01/2013,00:00,1,1,0,0,0
05/01/2013,00:15,1,1,0,0,0
05/01/2013,00:30,1,1,0,0,0
05/01/2013,00:45,0,0,0,0,0
05/01/2013,01:00,1,1,0,0,0
05/01/2013,01:15,0,0,0,0,0
05/01/2013,01:30,2,1,0,1,0
05/01/2013,01:45,0,0,0,0,0
05/01/2013,02:00,0,0,0,0,0
05/01/2013,02:15,2,1,1,0,0
05/01/2013,02:30,0,0,0,0,0
05/01/2013,02:45,0,0,0,0,0
05/01/2013,03:00,0,0,0,0,0
05/01/2013,03:15,0,0,0,0,0
05/01/2013,03:30,0,0,0,0,0
05/01/2013,03:45,0,0,0,0,0
05/01/2013,04:00,0,0,0,0,0
05/01/2013,04:15,0,0,0,0,0
05/01/2013,04:30,0,0,0,0,0
05/01/2013,04:45,1,1,0,0,0
05/01/2013,05:00,0,0,0,0,0
05/01/2013,05:15,0,0,0,0,0
05/01/2013,05:30,0,0,0,0,0
05/01/2013,05:45,1,0,0,1,0
05/01/2013,06:00,1,1,0,0,0
05/01/2013,06:15,2,0,1,1,0
05/01/2013,06:30,1,0,1,0,0
05/01/2013,06:45,6,1,5,0,0
05/01/2013,07:00,8,1,7,0,0
05/01/2013,07:15,5,2,3,0,0
05/01/2013,07:30,12,2,7,3,0
05/01/2013,07:45,7,3,4,0,0
05/01/2013,08:00,4,3,1,0,0
05/01/2013,08:15,6,1,1,2,2
05/01/2013,08:30,7,3,4,0,0
05/01/2013,08:45,5,0,4,1,0
05/01/2013,09:00,8,3,3,2,0
05/01/2013,09:15,8,1,6,1,0
05/01/2013,09:30,16,4,7,1,4
05/01/2013,09:45,7,2,4,1,0
05/01/2013,10:00,11,2,6,2,1
05/01/2013,10:15,8,3,5,0,0
05/01/2013,10:30,14,3,10,1,0
05/01/2013,10:45,12,4,4,0,4
05/01/2013,11:00,18,4,9,1,4
05/01/2013,11:15,23,4,11,7,1
05/01/2013,11:30,7,0,3,4,0
05/01/2013,11:45,15,8,3,4,0
05/01/2013,12:00,17,9,5,1,2
05/01/2013,12:15,25,7,6,10,2
05/01/2013,12:30,23,7,5,8,3
05/01/2013,12:45,11,4,4,3,0
05/01/2013,13:00,22,8,6,7,1
05/01/2013,13:15,23,10,5,7,1
05/01/2013,13:30,12,4,2,4,2
05/01/2013,13:45,22,8,8,5,1
05/01/2013,14:00,18,3,8,5,2
05/01/2013,14:15,16,5,4,4,3
05/01/2013,14:30,13,5,3,2,3
05/01/2013,14:45,21,9,8,2,2
05/01/2013,15:00,27,11,6,5,5
05/01/2013,15:15,14,7,4,3,0
05/01/2013,15:30,28,11,7,9,1
05/01/2013,15:45,23,12,9,2,0
05/01/2013,16:00,16,10,4,2,0
05/01/2013,16:15,20,6,9,3,2
05/01/2013,16:30,28,10,5,10,3
05/01/2013,16:45,23,11,7,5,0
05/01/2013,17:00,27,16,4,4,3
05/01/2013,17:15,14,4,5,5,0
05/01/2013,17:30,19,14,4,1,0
05/01/2013,17:45,12,5,5,2,0
05/01/2013,18:00,13,7,2,4,0
05/01/2013,18:15,6,2,1,3,0
05/01/2013,18:30,13,10,1,2,0
05/01/2013,18:45,8,4,3,1,0
05/01/2013,19:00,10,3,7,0,0
05/01/2013,19:15,13,3,5,5,0
05/01/2013,19:30,9,2,5,2,0
05/01/2013,19:45,7,5,2,0,0
05/01/2013,20:00,8,7,0,1,0
05/01/2013,20:15,3,2,1,0,0
05/01/2013,20:30,6,5,1,0,0
05/01/2013,20:45,5,3,1,1,0
05/01/2013,21:00,5,2,3,0,0
05/01/2013,21:15,4,3,1,0,0
05/01/2013,21:30,1,1,0,0,0
05/01/2013,21:45,6,5,0,1,0
05/01/2013,22:00,2,1,0,1,0
05/01/2013,22:15,4,1,0,0,3
05/01/2013,22:30,3,3,0,0,0
05/01/2013,22:45,0,0,0,0,0
05/01/2013,23:00,4,3,1,0,0
05/01/2013,23:15,3,0,0,2,1
05/01/2013,23:30,4,2,0,1,1
05/01/2013,23:45,0,0,0,0,0
06/01/2013,00:00,5,2,1,0,2
06/01/2013,00:15,3,2,1,0,0
06/01/2013,00:30,2,2,0,0,0
06/01/2013,00:45,4,1,0,3,0
06/01/2013,01:00,0,0,0,0,0
06/01/2013,01:15,4,3,0,1,0
06/01/2013,01:30,2,1,0,1,0
06/01/2013,01:45,2,0,1,1,0
06/01/2013,02:00,0,0,0,0,0
06/01/2013,02:15,1,1,0,0,0
06/01/2013,02:30,1,1,0,0,0
06/01/2013,02:45,0,0,0,0,0
06/01/2013,03:00,3,0,1,2,0
06/01/2013,03:15,0,0,0,0,0
06/01/2013,03:30,0,0,0,0,0
06/01/2013,03:45,1,1,0,0,0
06/01/2013,04:00,0,0,0,0,0
06/01/2013,04:15,0,0,0,0,0
06/01/2013,04:30,0,0,0,0,0
06/01/2013,04:45,0,0,0,0,0
06/01/2013,05:00,0,0,0,0,0
06/01/2013,05:15,0,0,0,0,0
06/01/2013,05:30,0,0,0,0,0
06/01/2013,05:45,1,0,0,1,0
06/01/2013,06:00,0,0,0,0,0
06/01/2013,06:15,2,0,1,1,0
06/01/2013,06:30,0,0,0,0,0
06/01/2013,06:45,1,1,0,0,0
06/01/2013,07:00,1,0,1,0,0
06/01/2013,07:15,2,0,2,0,0
06/01/2013,07:30,5,2,3,0,0
06/01/2013,07:45,6,0,6,0,0
06/01/2013,08:00,3,1,2,0,0
06/01/2013,08:15,9,1,6,2,0
06/01/2013,08:30,5,3,1,0,1
06/01/2013,08:45,15,2,8,1,4
06/01/2013,09:00,7,1,4,0,2
06/01/2013,09:15,8,3,1,4,0
06/01/2013,09:30,6,1,3,2,0
06/01/2013,09:45,14,6,5,2,1
06/01/2013,10:00,15,2,5,5,3
06/01/2013,10:15,20,6,9,3,2
06/01/2013,10:30,15,3,9,0,3
06/01/2013,10:45,22,6,10,3,3
06/01/2013,11:00,13,2,5,2,4
06/01/2013,11:15,19,5,12,2,0
06/01/2013,11:30,24,10,9,3,2
06/01/2013,11:45,29,8,7,14,0
06/01/2013,12:00,23,8,4,9,2
06/01/2013,12:15,27,7,15,4,1
06/01/2013,12:30,14,7,5,1,1
06/01/2013,12:45,17,6,4,2,5
06/01/2013,13:00,23,7,6,8,2
06/01/2013,13:15,20,7,3,8,2
06/01/2013,13:30,24,9,11,2,2
06/01/2013,13:45,21,10,7,4,0
06/01/2013,14:00,21,13,3,3,2
06/01/2013,14:15,24,6,10,7,1
06/01/2013,14:30,23,5,8,8,2
06/01/2013,14:45,22,12,4,4,2
06/01/2013,15:00,20,9,7,2,2
06/01/2013,15:15,9,4,3,2,0
06/01/2013,15:30,16,7,4,4,1
06/01/2013,15:45,16,3,6,4,3
06/01/2013,16:00,20,7,6,7,0
06/01/2013,16:15,6,2,1,3,0
06/01/2013,16:30,13,4,1,8,0
06/01/2013,16:45,12,4,5,2,1
06/01/2013,17:00,15,3,3,9,0
06/01/2013,17:15,17,5,5,7,0
06/01/2013,17:30,18,7,10,1,0
06/01/2013,17:45,10,6,2,1,1
06/01/2013,18:00,3,1,2,0,0
06/01/2013,18:15,9,1,3,5,0
06/01/2013,18:30,13,8,4,0,1
06/01/2013,18:45,8,3,2,3,0
06/01/2013,19:00,7,5,2,0,0
06/01/2013,19:15,3,2,1,0,0
06/01/2013,19:30,8,4,0,4,0
06/01/2013,19:45,10,10,0,0,0
06/01/2013,20:00,13,6,3,2,2
06/01/2013,20:15,14,7,3,4,0
06/01/2013,20:30,3,2,1,0,0
06/01/2013,20:45,4,3,1,0,0
06/01/2013,21:00,7,3,1,3,0
06/01/2013,21:15,4,1,1,2,0
06/01/2013,21:30,5,4,0,0,1
06/01/2013,21:45,0,0,0,0,0
06/01/2013,22:00,3,2,1,0,0
06/01/2013,22:15,6,2,1,3,0
06/01/2013,22:30,4,3,0,0,1
06/01/2013,22:45,0,0,0,0,0
06/01/2013,23:00,3,2,0,1,0
06/01/2013,23:15,4,1,1,1,1
06/01/2013,23:30,1,1,0,0,0
06/01/2013,23:45,1,1,0,0,0
07/01/2013,00:00,0,0,0,0,0
07/01/2013,00:15,2,2,0,0,0
07/01/2013,00:30,2,2,0,0,0
07/01/2013,00:45,3,0,1,2,0
07/01/2013,01:00,0,0,0,0,0
07/01/2013,01:15,0,0,0,0,0
07/01/2013,01:30,0,0,0,0,0
07/01/2013,01:45,1,1,0,0,0
07/01/2013,02:00,0,0,0,0,0
07/01/2013,02:15,0,0,0,0,0
07/01/2013,02:30,1,1,0,0,0
07/01/2013,02:45,0,0,0,0,0
07/01/2013,03:00,1,1,0,0,0
07/01/2013,03:15,0,0,0,0,0
07/01/2013,03:30,0,0,0,0,0
07/01/2013,03:45,0,0,0,0,0
07/01/2013,04:00,1,0,1,0,0
07/01/2013,04:15,0,0,0,0,0
07/01/2013,04:30,1,0,0,0,1
07/01/2013,04:45,3,1,0,2,0
07/01/2013,05:00,0,0,0,0,0
07/01/2013,05:15,2,1,0,1,0
07/01/2013,05:30,4,0,1,2,1
07/01/2013,05:45,5,0,2,3,0
07/01/2013,06:00,3,1,1,0,1
07/01/2013,06:15,7,0,3,3,1
07/01/2013,06:30,4,0,2,2,0
07/01/2013,06:45,14,2,8,2,2
07/01/2013,07:00,28,4,11,4,9
07/01/2013,07:15,16,7,3,4,2
07/01/2013,07:30,9,0,4,4,1
07/01/2013,07:45,17,2,6,6,3
07/01/2013,08:00,22,2,10,3,7
07/01/2013,08:15,39,3,16,9,11
07/01/2013,08:30,31,2,12,13,4
07/01/2013,08:45,42,6,19,9,8
07/01/2013,09:00,22,5,8,4,5
07/01/2013,09:15,18,2,4,7,5
07/01/2013,09:30,18,2,7,6,3
07/01/2013,09:45,17,1,8,3,5
07/01/2013,10:00,11,4,2,2,3
07/01/2013,10:15,4,2,1,0,1
07/01/2013,10:30,7,1,3,2,1
07/01/2013,10:45,7,1,2,4,0
07/01/2013,11:00,3,3,0,0,0
07/01/2013,11:15,5,4,0,0,1
07/01/2013,11:30,6,1,3,1,1
07/01/2013,11:45,16,4,6,3,3
07/01/2013,12:00,10,1,4,2,3
07/01/2013,12:15,15,6,6,2,1
07/01/2013,12:30,16,2,7,6,1
07/01/2013,12:45,9,3,5,1,0
07/01/2013,13:00,7,2,3,2,0
07/01/2013,13:15,7,1,1,3,2
07/01/2013,13:30,8,4,2,2,0
07/01/2013,13:45,14,3,10,0,1
07/01/2013,14:00,7,5,0,0,2
07/01/2013,14:15,6,2,4,0,0
07/01/2013,14:30,13,5,5,2,1
07/01/2013,14:45,14,5,3,4,2
07/01/2013,15:00,16,6,1,7,2
07/01/2013,15:15,10,1,3,6,0
07/01/2013,15:30,11,7,1,2,1
07/01/2013,15:45,28,14,7,7,0
07/01/2013,16:00,17,9,3,4,1
07/01/2013,16:15,22,10,1,10,1
07/01/2013,16:30,26,9,9,4,4
07/01/2013,16:45,35,16,4,11,4
07/01/2013,17:00,45,19,6,18,2
07/01/2013,17:15,44,20,7,13,4
07/01/2013,17:30,70,34,6,28,2
07/01/2013,17:45,43,16,7,16,4
07/01/2013,18:00,29,13,4,11,1
07/01/2013,18:15,44,18,5,13,8
07/01/2013,18:30,35,11,5,14,5
07/01/2013,18:45,30,9,4,15,2
07/01/2013,19:00,20,6,1,13,0
07/01/2013,19:15,12,8,2,2,0
07/01/2013,19:30,14,5,3,5,1
07/01/2013,19:45,12,7,1,4,0
07/01/2013,20:00,18,8,0,8,2
07/01/2013,20:15,11,2,2,6,1
07/01/2013,20:30,8,2,0,5,1
07/01/2013,20:45,4,2,0,2,0
07/01/2013,21:00,12,3,2,7,0
07/01/2013,21:15,3,3,0,0,0
07/01/2013,21:30,10,5,0,4,1
